crosswalk_id,intersection,trafficlight,school,illegal_parking,cctv,traffic_sign,smart_crosswalk,subway_pop,bus_pop,cafe_50,cafe_100,target,accident,acca_count,safe_index
06-0000036765,0,0,0,0.0,0,0,0,136.73504274,0.52031953522,0.0,0.0,0,0,0.0,2.8006452668135826
06-0000036763,0,0,1,0.0,0,0,0,136.73504274,0.56016427105,0.0,0.0,0,2,0.0,15.375916948353025
06-0000036761,0,0,1,0.0,0,0,0,136.73504274,0.6503994190300001,0.0,0.0,0,2,0.0,15.43041035516145
06-0000036762,0,0,1,0.0,0,0,0,136.73504274,0.6503994190300001,0.0,0.0,0,0,0.0,15.43041035516145
06-0000038099,0,0,1,0.0,0,0,0,109.38803419,0.8725203252,0.0,0.0,1,4,0.0,15.01063719603272
06-0000036764,0,0,0,0.0,0,0,0,136.73504274,0.6503994190300001,0.0,0.0,0,0,0.0,2.8792010866325093
06-0000014300,1,1,1,0.0,0,8,0,109.38803419,1.0906504065,0.0,0.0,0,2,0.0,31.957353059200788
06-0000036756,1,0,1,0.0,0,0,0,136.73504274,0.52031953522,0.0,0.0,2,8,0.0,25.545568380524003
06-0000036755,1,0,1,0.0,0,0,0,136.73504274,0.4481314168399999,0.0,0.0,2,7,0.0,25.50197365507968
06-0000036757,1,1,1,0.0,0,4,0,136.73504274,0.52031953522,0.0,0.0,2,10,0.0,31.82798532739325
06-0000036758,1,0,1,0.0,0,0,0,136.73504274,0.52031953522,0.0,0.0,1,3,0.0,25.545568380524003
06-0000036760,1,1,1,0.0,0,6,0,136.73504274,1.7644950645,0.0,0.0,1,3,0.0,32.74877613069051
06-0000036759,1,1,1,0.0,0,4,0,136.73504274,1.7644950645,0.0,0.0,1,3,0.0,32.57934845779084
06-0000036754,1,1,1,0.0,0,1,0,136.73504274,1.7644950645,0.0,0.0,1,6,0.0,32.32520694844135
06-0000038101,0,0,1,0.0,0,0,0,136.73504274,1.3233712984000001,0.0,0.0,2,7,0.0,15.836821063339912
06-0000037117,1,1,1,0.0,0,7,0,136.73504274,1.7644950645,0.0,0.0,2,10,0.0,32.83348996714034
06-0000033531,1,1,1,0.0,0,12,0,136.73504274,1.7644950645,0.0,0.0,2,10,0.0,33.257059149389505
06-0000038344,1,1,1,0.0,0,13,0,136.73504274,1.7644950645,0.0,0.0,2,13,0.0,33.341772985839334
06-0000037116,1,1,1,0.0,0,13,0,136.73504274,1.7644950645,0.0,0.0,2,13,0.0,33.341772985839334
