crosswalk_id,cross
06-0000030342,0
06-0000030343,0
06-0000030613,0
06-0000030616,0
06-0000030617,0
06-0000030619,0
06-0000030344,0
06-0000030628,0
06-0000030630,0
06-0000030620,0
06-0000030273,0
06-0000030278,0
06-0000030284,0
06-0000030290,0
06-0000030291,1
06-0000030293,0
06-0000030483,0
06-0000030580,0
06-0000030294,0
06-0000030297,0
06-0000030496,0
06-0000033796,0
06-0000033797,0
06-0000033798,0
06-0000033799,0
06-0000033800,0
06-0000045674,0
06-0000045680,1
06-0000045687,0
06-0000033804,1
06-0000033805,0
06-0000034361,0
06-0000034362,0
06-0000034363,0
06-0000034364,0
06-0000034365,0
06-0000034366,0
06-0000034367,0
06-0000033808,0
06-0000034368,1
06-0000033806,0
06-0000033809,0
06-0000033810,0
06-0000033811,0
06-0000033812,0
06-0000033813,0
06-0000034369,0
06-0000034370,0
06-0000034371,0
06-0000034372,1
06-0000034374,0
06-0000034375,1
06-0000034379,0
06-0000013534,0
06-0000033814,0
06-0000033815,0
06-0000033816,1
06-0000033817,0
06-0000033818,0
06-0000033819,0
06-0000033820,1
06-0000024543,1
06-0000038822,1
06-0000038821,1
06-0000034380,0
06-0000034381,0
06-0000046654,1
06-0000034382,0
06-0000034383,0
06-0000034384,0
06-0000034385,0
06-0000034386,0
06-0000034387,0
06-0000034388,0
06-0000034389,0
06-0000033821,0
06-0000038820,1
06-0000012888,1
06-0000033822,0
06-0000012892,1
06-0000033829,0
06-0000033830,0
06-0000034390,0
06-0000034723,0
06-0000035126,0
06-0000035127,0
06-0000035128,0
06-0000035129,1
06-0000035039,0
06-0000035040,0
06-0000035041,0
06-0000035042,0
06-0000035043,0
06-0000035201,0
06-0000035202,0
06-0000035203,0
06-0000035204,0
06-0000035205,0
06-0000035044,0
06-0000030699,0
06-0000030700,0
06-0000030701,0
06-0000030702,0
06-0000030703,0
06-0000030704,0
06-0000030705,0
06-0000030979,0
06-0000030980,0
06-0000030981,0
06-0000030690,0
06-0000030691,0
06-0000030692,0
06-0000030693,0
06-0000030697,0
06-0000030698,0
06-0000032381,0
06-0000032126,1
06-0000032127,0
06-0000032128,0
06-0000032129,0
06-0000032130,0
06-0000032131,0
06-0000032132,0
06-0000032133,0
06-0000032134,0
06-0000032135,0
06-0000032136,1
06-0000032137,0
06-0000032138,0
06-0000032139,0
06-0000032140,0
06-0000045659,0
06-0000045655,0
06-0000045658,0
06-0000032154,0
06-0000032155,0
06-0000032156,0
06-0000000061,0
06-0000000002,0
06-0000000036,0
06-0000000037,0
06-0000000054,0
06-0000000055,0
06-0000000057,0
06-0000000930,0
06-0000048404,0
06-0000001712,0
06-0000002245,0
06-0000002366,0
06-0000002368,0
06-0000002370,0
06-0000002870,1
06-0000002871,0
06-0000002872,0
06-0000002873,0
06-0000002690,0
06-0000002715,1
06-0000002634,0
06-0000002735,0
06-0000003137,0
06-0000003140,0
06-0000002940,0
06-0000002944,0
06-0000003049,0
06-0000003143,0
06-0000003144,0
06-0000003145,0
06-0000002945,0
06-0000003147,0
06-0000003149,0
06-0000003060,0
06-0000002976,0
06-0000002980,0
06-0000002992,0
06-0000002993,0
06-0000002878,0
06-0000002879,0
06-0000002880,0
06-0000013645,1
06-0000013531,1
06-0000003246,0
06-0000003349,0
06-0000003350,0
06-0000003352,0
06-0000003357,0
06-0000003358,0
06-0000003359,0
06-0000003362,0
06-0000003363,0
06-0000003364,0
06-0000011690,1
06-0000003384,0
06-0000003224,0
06-0000003232,0
06-0000003233,0
06-0000003237,1
06-0000003239,1
06-0000003342,0
06-0000003344,0
06-0000003345,0
06-0000003579,0
06-0000003581,0
06-0000003582,0
06-0000003590,0
06-0000003591,0
06-0000003592,0
06-0000003593,0
06-0000003722,0
06-0000003608,0
06-0000003609,0
06-0000003610,1
06-0000003612,0
06-0000003614,0
06-0000003615,0
06-0000003620,0
06-0000003621,0
06-0000033824,1
06-0000003623,0
06-0000003624,0
06-0000033823,1
06-0000003625,0
06-0000003626,0
06-0000003627,0
06-0000003628,0
06-0000003629,0
06-0000003630,0
06-0000003631,0
06-0000003637,0
06-0000003638,0
06-0000003639,0
06-0000003647,0
06-0000048447,0
06-0000051455,0
06-0000051460,1
06-0000005716,0
06-0000045656,0
06-0000045660,0
06-0000045664,0
06-0000048584,0
06-0000024254,0
06-0000029733,0
06-0000015732,1
06-0000036925,1
06-0000028847,0
06-0000036543,0
06-0000041531,0
06-0000045666,1
06-0000045667,1
06-0000045668,1
06-0000045663,0
06-0000045670,1
06-0000031748,0
06-0000013570,0
06-0000033807,0
06-0000031749,0
06-0000031751,0
06-0000031752,0
06-0000031753,0
06-0000031754,0
06-0000011022,0
06-0000011023,0
06-0000011024,1
06-0000031758,0
06-0000031759,0
06-0000011052,0
06-0000031760,0
06-0000031761,0
06-0000011275,0
06-0000011740,0
06-0000011416,0
06-0000011417,0
06-0000011418,0
06-0000011747,0
06-0000011585,0
06-0000011586,0
06-0000011588,1
06-0000023895,1
06-0000011691,0
06-0000011605,0
06-0000011606,0
06-0000011607,0
06-0000011608,0
06-0000011609,0
06-0000011610,0
06-0000011611,0
06-0000011612,0
06-0000011613,0
06-0000012135,0
06-0000012136,0
06-0000012143,0
06-0000011837,0
06-0000011838,0
06-0000011839,0
06-0000011840,0
06-0000012023,0
06-0000012024,0
06-0000012144,0
06-0000012145,0
06-0000012146,0
06-0000012147,0
06-0000012148,0
06-0000012149,0
06-0000012028,0
06-0000012032,0
06-0000012033,1
06-0000012152,0
06-0000012155,0
06-0000012035,0
06-0000012036,0
06-0000012159,0
06-0000012169,0
06-0000012170,0
06-0000012171,0
06-0000012172,0
06-0000012173,0
06-0000011869,0
06-0000011870,0
06-0000011871,0
06-0000011873,0
06-0000011874,1
06-0000011875,0
06-0000011877,0
06-0000011878,0
06-0000012160,0
06-0000012164,0
06-0000012165,0
06-0000012166,0
06-0000012167,0
06-0000012168,0
06-0000011879,0
06-0000011880,0
06-0000011881,0
06-0000011882,0
06-0000012063,0
06-0000012064,0
06-0000012065,1
06-0000012069,0
06-0000012070,0
06-0000012071,0
06-0000012072,0
06-0000012073,0
06-0000012074,0
06-0000012075,0
06-0000011797,0
06-0000012088,0
06-0000012089,0
06-0000011812,0
06-0000012090,0
06-0000012093,0
06-0000012094,0
06-0000012095,0
06-0000012096,0
06-0000012097,0
06-0000012098,0
06-0000012099,0
06-0000012100,0
06-0000012101,0
06-0000012107,0
06-0000012108,0
06-0000012109,0
06-0000012111,0
06-0000012113,0
06-0000012114,1
06-0000012115,0
06-0000012116,0
06-0000012117,0
06-0000012120,0
06-0000012121,0
06-0000012122,0
06-0000012123,0
06-0000012124,0
06-0000012125,0
06-0000012126,0
06-0000012127,0
06-0000012130,0
06-0000011834,0
06-0000011835,0
06-0000011836,0
06-0000012133,0
06-0000012134,0
06-0000012444,0
06-0000012447,0
06-0000012456,0
06-0000012458,0
06-0000012362,0
06-0000012363,0
06-0000012364,0
06-0000012367,0
06-0000012368,0
06-0000012369,0
06-0000012370,0
06-0000012371,0
06-0000012175,0
06-0000012176,0
06-0000012178,0
06-0000012179,0
06-0000012180,0
06-0000012181,0
06-0000012182,0
06-0000012183,0
06-0000012386,0
06-0000012408,0
06-0000012411,0
06-0000012419,0
06-0000012420,0
06-0000012421,0
06-0000012422,0
06-0000012524,0
06-0000012525,0
06-0000012439,0
06-0000012440,0
06-0000012441,0
06-0000012442,0
06-0000012443,0
06-0000015670,0
06-0000012637,0
06-0000012639,0
06-0000012938,0
06-0000012939,0
06-0000012940,0
06-0000012941,0
06-0000012942,0
06-0000012945,0
06-0000012583,0
06-0000012595,0
06-0000012597,0
06-0000012598,0
06-0000012599,0
06-0000012600,0
06-0000012859,0
06-0000012860,0
06-0000012861,0
06-0000012862,0
06-0000012863,0
06-0000012864,0
06-0000012865,0
06-0000012601,0
06-0000012602,0
06-0000012603,0
06-0000012604,0
06-0000012605,0
06-0000012866,0
06-0000012867,0
06-0000012869,0
06-0000012872,0
06-0000012887,0
06-0000012889,0
06-0000012890,0
06-0000012891,0
06-0000012893,0
06-0000013356,0
06-0000013357,0
06-0000013358,0
06-0000013359,0
06-0000013360,0
06-0000013028,0
06-0000013145,0
06-0000013147,0
06-0000013148,0
06-0000013149,0
06-0000013150,0
06-0000013151,0
06-0000013152,0
06-0000013259,0
06-0000013361,0
06-0000013362,0
06-0000013363,0
06-0000013364,0
06-0000013365,0
06-0000013038,0
06-0000013155,0
06-0000013085,0
06-0000012969,0
06-0000013090,0
06-0000013091,0
06-0000013092,0
06-0000013301,0
06-0000013302,0
06-0000012976,0
06-0000012977,0
06-0000012978,0
06-0000029734,0
06-0000029739,0
06-0000000041,0
06-0000030015,0
06-0000012979,0
06-0000045662,0
06-0000029763,1
06-0000012971,0
06-0000013039,0
06-0000013153,0
06-0000013154,0
06-0000013156,0
06-0000012972,0
06-0000013157,0
06-0000013158,0
06-0000012973,0
06-0000013159,0
06-0000013266,0
06-0000013267,0
06-0000013268,0
06-0000013269,0
06-0000013270,0
06-0000012974,0
06-0000013271,0
06-0000013272,0
06-0000013273,0
06-0000013366,0
06-0000013162,0
06-0000013163,0
06-0000013164,0
06-0000013165,0
06-0000013167,0
06-0000013274,0
06-0000013367,0
06-0000013275,0
06-0000013276,0
06-0000013277,0
06-0000013369,1
06-0000013370,0
06-0000013371,0
06-0000013368,0
06-0000013045,0
06-0000013049,0
06-0000048422,0
06-0000013050,0
06-0000013052,0
06-0000013053,0
06-0000013054,0
06-0000013055,0
06-0000013056,0
06-0000013168,0
06-0000013169,0
06-0000013170,0
06-0000013171,0
06-0000012975,0
06-0000013172,0
06-0000013173,0
06-0000013174,0
06-0000013278,0
06-0000013279,0
06-0000048427,0
06-0000013280,0
06-0000013281,0
06-0000013282,0
06-0000013283,0
06-0000013057,0
06-0000013058,0
06-0000013059,0
06-0000013060,0
06-0000013061,0
06-0000013062,0
06-0000013063,0
06-0000013175,0
06-0000013176,0
06-0000013177,0
06-0000013178,0
06-0000013179,0
06-0000013180,0
06-0000013181,0
06-0000013284,0
06-0000013285,0
06-0000013286,0
06-0000013287,0
06-0000013288,0
06-0000013086,0
06-0000013040,0
06-0000013182,0
06-0000013183,0
06-0000013041,0
06-0000013959,1
06-0000013184,0
06-0000024638,1
06-0000013185,0
06-0000033801,1
06-0000013187,0
06-0000033803,1
06-0000013188,0
06-0000013289,0
06-0000013042,0
06-0000013290,0
06-0000013087,0
06-0000031628,0
06-0000031629,0
06-0000031630,0
06-0000013088,0
06-0000013044,0
06-0000013093,0
06-0000013160,0
06-0000013161,0
06-0000013094,0
06-0000013096,0
06-0000013098,0
06-0000013218,0
06-0000013099,0
06-0000013100,0
06-0000013102,0
06-0000013104,0
06-0000012997,0
06-0000012999,0
06-0000013004,0
06-0000013005,0
06-0000013006,0
06-0000013007,0
06-0000013117,0
06-0000013008,0
06-0000013009,0
06-0000013010,0
06-0000013011,0
06-0000013012,0
06-0000013121,0
06-0000013122,0
06-0000013123,0
06-0000013124,0
06-0000013125,0
06-0000013341,0
06-0000013013,0
06-0000013018,0
06-0000013127,0
06-0000013128,0
06-0000013129,0
06-0000013130,0
06-0000013131,0
06-0000013132,0
06-0000013133,0
06-0000013134,0
06-0000013135,0
06-0000013136,0
06-0000013137,0
06-0000013138,0
06-0000013139,0
06-0000013140,0
06-0000013342,0
06-0000013343,0
06-0000013344,0
06-0000013345,0
06-0000013019,0
06-0000013020,0
06-0000013141,0
06-0000013142,0
06-0000013143,0
06-0000013353,0
06-0000013354,0
06-0000013355,0
06-0000013697,0
06-0000013698,0
06-0000013699,0
06-0000013519,0
06-0000013522,0
06-0000013523,0
06-0000013524,0
06-0000013525,0
06-0000013526,0
06-0000013527,0
06-0000013528,0
06-0000013529,0
06-0000013530,0
06-0000013532,0
06-0000013533,0
