crosswalk_id,car
06-0000036765,0
06-0000036763,0
06-0000036761,0
06-0000036762,0
06-0000038099,0
06-0000036764,0
06-0000014300,0
06-0000036756,0
06-0000036755,0
06-0000036757,0
06-0000036758,0
06-0000036760,0
06-0000036759,0
06-0000036754,0
06-0000038101,0
06-0000037117,0
06-0000033531,0
06-0000038344,0
06-0000037116,0
06-0000038111,0
06-0000046662,0
06-0000038098,0
06-0000038119,0
06-0000038120,0
06-0000019177,0
06-0000041576,0
06-0000038121,0
06-0000038122,0
06-0000038163,0
06-0000027999,0
06-0000028000,0
06-0000013632,0
06-0000028002,0
06-0000037791,0
06-0000000054,0
06-0000028001,0
06-0000014437,18.05205479
06-0000014299,0
06-0000002245,33.33013699
06-0000000930,0
06-0000013039,0
06-0000000036,33.33013699
06-0000013038,0
06-0000037794,0
06-0000037040,0
06-0000000037,33.33013699
06-0000000042,33.33013699
06-0000014253,0
06-0000000055,0
06-0000013040,0
06-0000001712,0
06-0000013041,0
06-0000014023,0
06-0000014046,0
06-0000000041,33.33013699
06-0000037772,0
06-0000037818,0
06-0000037805,0
06-0000037771,0
06-0000037819,0
06-0000000057,0
06-0000000061,0
06-0000014250,0
06-0000014027,0
06-0000003614,0
06-0000012408,0.091780822
06-0000014246,0
06-0000046525,0
06-0000026278,0.095890411
06-0000002634,0
06-0000037770,0.095890411
06-0000014251,0
06-0000012938,0
06-0000024272,0
06-0000015755,0.095890411
06-0000050952,0
06-0000014047,0
06-0000013963,0.095890411
06-0000024273,0
06-0000013042,0
06-0000013964,0.095890411
06-0000015756,0
06-0000031628,0
06-0000020801,0.171232877
06-0000027388,0
06-0000039032,0
06-0000003143,0
06-0000037730,0
06-0000027394,0
06-0000014042,0.075342466
06-0000027395,0
06-0000014043,0.280821918
06-0000027389,0
06-0000002366,0
06-0000014044,0.198630137
06-0000014247,0
06-0000003145,0.194520548
06-0000014249,0
06-0000014045,0.363013699
06-0000037813,0.302739726
06-0000037742,0.302739726
06-0000013805,0.054794521
06-0000037745,0.054794521
06-0000013798,0.302739726
06-0000029139,0.302739726
06-0000037769,0.302739726
06-0000037741,0.302739726
06-0000027390,0
06-0000013797,0.471232877
06-0000037743,0.302739726
06-0000037812,0.357534247
06-0000013802,0.163013699
06-0000025945,0
06-0000002368,0
06-0000037727,0
06-0000037744,0.253424658
06-0000037213,0
06-0000029140,0.357534247
06-0000013799,0.163013699
06-0000027397,0.101369863
06-0000003140,0
06-0000037220,0.119178082
06-0000002370,0
06-0000013965,0
06-0000003582,0.119178082
06-0000022976,0.119178082
06-0000022975,0.068493151
06-0000037222,0.119178082
06-0000022974,0
06-0000013801,0.253424658
06-0000027393,0
06-0000027396,0.032876712
06-0000050357,0.032876712
06-0000003583,0.119178082
06-0000037221,0.068493151
06-0000003137,0
06-0000037218,0
06-0000037725,0
06-0000037214,0
06-0000037217,0
06-0000037215,0
06-0000037219,0
06-0000037216,0
06-0000013800,0.357534247
06-0000030297,0.253424658
06-0000037739,0.253424658
06-0000033803,0
06-0000037738,0.357534247
06-0000027391,0
06-0000027392,0
06-0000013062,0.357534247
06-0000029141,0.357534247
06-0000033802,0
06-0000037737,0.163013699
06-0000052819,0.101369863
06-0000013061,0.163013699
06-0000013665,0
06-0000013056,0.083561644
06-0000037820,0
06-0000015739,0
06-0000050355,0.157534247
06-0000037823,0
06-0000050358,0.202739726
06-0000013664,0
06-0000050356,0.157534247
06-0000037821,0
06-0000013063,0.216438356
06-0000038059,0.216438356
06-0000029142,0.216438356
06-0000039362,0
06-0000038567,0
06-0000037822,0
06-0000034378,0
06-0000033801,0.182191781
06-0000048346,0
06-0000024638,0.182191781
06-0000013342,0.075342466
06-0000038060,0.075342466
06-0000013663,0
06-0000013057,0.032876712
06-0000013155,0.043835616
06-0000013060,0.032876712
06-0000013635,0.139726027
06-0000037713,0.139726027
06-0000013636,0.139726027
06-0000038699,0.032876712
06-0000013058,0
06-0000038700,0.032876712
06-0000028076,0.108219178
06-0000013156,0.080821918
06-0000038061,0.205479452
06-0000048354,0.350684932
06-0000028075,1.306849315
06-0000022106,1.306849315
06-0000024649,0.649315068
06-0000013638,0.395890411
06-0000013637,0.395890411
06-0000028074,1.319178082
06-0000038062,0.130136986
06-0000013343,0.130136986
06-0000028073,1.319178082
06-0000038063,0.130136986
06-0000038064,1.328767123
06-0000013059,0.798630137
06-0000013662,0
06-0000038065,1.328767123
06-0000052690,0
06-0000052689,0
06-0000013660,0
06-0000039202,1.693150685
06-0000039301,1.693150685
06-0000039264,1.693150685
06-0000013639,0.395890411
06-0000048358,1.693150685
06-0000013661,0
06-0000038066,1.121917808
06-0000013344,1.076712329
06-0000038067,1.076712329
06-0000013666,0.050684932
06-0000013642,0.395890411
06-0000013643,0.395890411
06-0000015738,0
06-0000013960,0.338356164
06-0000013644,0.395890411
06-0000020800,0.338356164
06-0000038068,1.182191781
06-0000013640,0.395890411
06-0000045428,0.439726027
06-0000013645,0.395890411
06-0000013650,0
06-0000045430,0.398630137
06-0000013959,0.338356164
06-0000015751,5.238356164
06-0000045224,0.361643836
06-0000013648,0.175342466
06-0000045476,1.182191781
06-0000045431,1.182191781
06-0000013957,5.061643836
06-0000013154,0.110958904
06-0000013949,0.106849315
06-0000037704,0.395890411
06-0000013641,0.395890411
06-0000013646,0.175342466
06-0000037705,0.395890411
06-0000045429,0.105479452
06-0000038069,3.426027397
06-0000013947,2.416438356
06-0000013958,5.238356164
06-0000003049,0.046575342
06-0000013948,0.276712329
06-0000026758,0.050684932
06-0000013649,0.175342466
06-0000051949,0.076712329
06-0000050674,0.050684932
06-0000013153,0.110958904
06-0000045427,0.047945205
06-0000048580,0
06-0000030290,0.330136986
06-0000013341,3.473972603
06-0000013647,0.175342466
06-0000038074,3.473972603
06-0000013954,5.238356164
