lat,lon,불법주정차_단속수,불법주정차_다발여부
37.537113899999994,126.83525859999999,34,1
37.537121299999995,126.83537620000001,36,1
37.536625,126.8356634,30,1
37.5371579,126.835792,29,1
37.536702000000005,126.83588400000001,24,1
37.537237299999994,126.836257,35,1
37.536832399999994,126.83668870000001,27,1
37.5373118,126.83668689999999,26,1
37.536846999999995,126.837252,27,1
37.5370817,126.8388539,55,1
37.537161100000006,126.8391378,169,1
37.537176099999996,126.83956409999999,24,1
37.5373914,126.84020690000001,30,1
37.5375025,126.84050390000002,25,1
37.5375348,126.840672,47,1
37.538042,126.84176399999998,34,1
37.5371393,126.8378369,610,1
37.5330489,126.8398804,42,1
37.5328347,126.8391709,41,1
37.534031899999995,126.841714,26,1
37.537309,126.8402523,36,1
37.5401508,126.84180829999998,95,1
37.5418899,126.8396133,420,1
37.5423273,126.840204,27,1
37.542576200000006,126.8391297,28,1
37.5430717,126.83857320000001,84,1
37.5295914,126.8476771,25,1
37.5444596,126.83805600000001,27,1
37.5450625,126.83733600000001,28,1
37.5468258,126.83587140000002,37,1
37.547226,126.8367128,60,1
37.5489913,126.83453859999999,558,1
37.5546422,126.834636,1227,2
37.5546422,126.834636,25,1
37.5546422,126.834636,723,1
37.5572895,126.8298584,30,1
37.555725200000005,126.84080900000001,40,1
37.556985100000006,126.828608,29,1
37.5311374,126.8473841,39,1
37.5548845,126.8299345,63,1
37.5594039,126.83895349999999,263,1
37.531501,126.847159,26,1
37.561717200000004,126.8396375,151,1
37.5621219,126.8397455,45,1
37.5814589,126.83226299999998,2884,2
37.5764888,126.8307466,25,1
37.5651626,126.8409989,151,1
37.5764888,126.8307466,6522,2
37.5691239,126.84104280000001,30,1
37.5701891,126.8411508,26,1
37.553594399999994,126.84126529999999,1631,2
37.531291499999995,126.8595466,60,1
37.5316073,126.8454041,53,1
37.532365500000004,126.8452675,29,1
37.5317295,126.83865630000001,24,1
37.5325303,126.84516310000001,38,1
37.532317799999994,126.8445351,45,1
37.532313200000004,126.84424779999999,25,1
37.531949499999996,126.843906,97,1
37.5322912,126.84402069999999,24,1
37.531923600000006,126.8411845,27,1
34.8001685,126.6967918,30,1
37.5321445,126.84155990000002,41,1
37.5346086,126.8436489,29,1
37.535653700000005,126.84299229999999,35,1
37.5321274,126.83853020000001,26,1
37.5318869,126.8379037,28,1
37.5318591,126.83781929999999,24,1
37.531812200000005,126.83763219999999,25,1
37.5333631,126.842247,27,1
37.5345457,126.84836580000001,25,1
37.534335999999996,126.84849229999999,34,1
37.535626,126.8512378,25,1
37.5361132,126.85093159999998,41,1
37.5357307,126.8513505,31,1
37.5360388,126.85124280000001,24,1
37.539972399999996,126.8447553,32,1
37.539463700000006,126.8389548,41,1
37.540159499999994,126.8397555,25,1
37.540436799999995,126.839551,31,1
37.539905299999994,126.83992920000001,55,1
37.5405549,126.8395616,37,1
37.54010170000001,126.839099,123,1
37.542266600000005,126.8387101,128,1
37.542357200000005,126.8386657,179,1
37.5424862,126.8384102,287,1
37.542047,126.83928610000001,83,1
37.5420648,126.838986,190,1
37.54389329999999,126.8370916,37,1
37.5440861,126.83727420000001,30,1
37.5421501,126.83877759999999,154,1
37.545118200000005,126.83626170000001,38,1
37.5405258,126.83459450000001,26,1
37.5426912,126.83561999999999,38,1
37.5440949,126.83743359999998,34,1
37.5442991,126.8371249,81,1
37.5444277,126.8357288,40,1
37.5467185,126.8353186,69,1
37.545307,126.83572530000001,28,1
37.555329,126.8335152,37,1
37.5529505,126.8299844,58,1
37.5486733,126.83509509999999,33,1
37.549930100000005,126.83544509999999,27,1
37.5508942,126.8343494,311,1
37.5521231,126.8354348,115,1
37.5519393,126.8354331,70,1
37.5517619,126.83461799999999,26,1
37.552469200000004,126.83571459999999,50,1
37.5543232,126.8300338,27,1
37.552848499999996,126.8324547,32,1
37.5536011,126.83473049999999,26,1
37.552090899999996,126.835089,50,1
37.5519201,126.8350384,31,1
37.551331299999994,126.83334779999998,30,1
37.552649100000004,126.8375169,425,1
