crosswalk_id,traff
06-0000036765,0
06-0000036763,0
06-0000036761,0
06-0000036762,0
06-0000038099,0
06-0000036764,0
06-0000014300,1
06-0000036756,0
06-0000036755,0
06-0000036757,1
06-0000036758,0
06-0000036760,1
06-0000036759,1
06-0000036754,1
06-0000038101,0
06-0000037117,1
06-0000033531,1
06-0000038344,1
06-0000037116,1
06-0000038111,0
06-0000046662,0
06-0000038098,0
06-0000038119,0
06-0000038120,0
06-0000019177,0
06-0000041576,0
06-0000038121,0
06-0000038122,0
06-0000038163,0
06-0000027999,0
06-0000028000,1
06-0000013632,1
06-0000028002,0
06-0000037791,0
06-0000000054,0
06-0000028001,0
06-0000014437,0
06-0000014299,1
06-0000002245,0
06-0000000930,1
06-0000013039,1
06-0000000036,1
06-0000013038,1
06-0000037794,1
06-0000037040,0
06-0000000037,0
06-0000000042,1
06-0000014253,0
06-0000000055,0
06-0000013040,1
06-0000001712,0
06-0000013041,1
06-0000014023,0
06-0000014046,0
06-0000000041,0
06-0000037772,1
06-0000037818,1
06-0000037805,0
06-0000037771,0
06-0000037819,0
06-0000000057,1
06-0000000061,1
06-0000014250,0
06-0000014027,0
06-0000003614,0
06-0000012408,0
06-0000014246,0
06-0000046525,0
06-0000026278,1
06-0000002634,0
06-0000037770,1
06-0000014251,0
06-0000012938,0
06-0000024272,0
06-0000015755,1
06-0000050952,0
06-0000014047,0
06-0000013963,1
06-0000024273,0
06-0000013042,0
06-0000013964,1
06-0000015756,1
06-0000031628,0
06-0000020801,0
06-0000027388,1
06-0000039032,0
06-0000003143,1
06-0000037730,1
06-0000027394,0
06-0000014042,0
06-0000027395,0
06-0000014043,1
06-0000027389,0
06-0000002366,0
06-0000014044,0
06-0000014247,0
06-0000003145,1
06-0000014249,0
06-0000014045,0
06-0000037813,1
06-0000037742,1
06-0000013805,0
06-0000037745,1
06-0000013798,0
06-0000029139,1
06-0000037769,1
06-0000037741,1
06-0000027390,0
06-0000013797,0
06-0000037743,1
06-0000037812,1
06-0000013802,1
06-0000025945,1
06-0000002368,1
06-0000037727,1
06-0000037744,1
06-0000037213,0
06-0000029140,0
06-0000013799,0
06-0000027397,0
06-0000003140,1
06-0000037220,1
06-0000002370,1
06-0000013965,1
06-0000003582,0
06-0000022976,1
06-0000022975,1
06-0000037222,0
06-0000022974,0
06-0000013801,0
06-0000027393,1
06-0000027396,0
06-0000050357,0
06-0000003583,0
06-0000037221,1
06-0000003137,1
06-0000037218,0
06-0000037725,1
06-0000037214,0
06-0000037217,0
06-0000037215,0
06-0000037219,0
06-0000037216,0
06-0000013800,0
06-0000030297,0
06-0000037739,0
06-0000033803,1
06-0000037738,1
06-0000027391,0
06-0000027392,0
06-0000013062,1
06-0000029141,1
06-0000033802,0
06-0000037737,1
06-0000052819,0
06-0000013061,0
06-0000013665,0
06-0000013056,0
06-0000037820,0
06-0000015739,0
06-0000050355,0
06-0000037823,0
06-0000050358,0
06-0000013664,0
06-0000050356,0
06-0000037821,0
06-0000013063,0
06-0000038059,0
06-0000029142,0
06-0000039362,1
06-0000038567,1
06-0000037822,0
06-0000034378,0
06-0000033801,1
06-0000048346,0
06-0000024638,1
06-0000013342,0
06-0000038060,0
06-0000013663,1
06-0000013057,0
06-0000013155,0
06-0000013060,0
06-0000013635,1
06-0000037713,1
06-0000013636,1
06-0000038699,1
06-0000013058,0
06-0000038700,1
06-0000028076,0
06-0000013156,0
06-0000038061,0
06-0000048354,1
06-0000028075,0
06-0000022106,0
06-0000024649,0
06-0000013638,0
06-0000013637,0
06-0000028074,0
06-0000038062,1
06-0000013343,1
06-0000028073,0
06-0000038063,1
06-0000038064,1
06-0000013059,0
06-0000013662,1
06-0000038065,1
06-0000052690,1
06-0000052689,1
06-0000013660,1
06-0000039202,1
06-0000039301,1
06-0000039264,1
06-0000013639,0
06-0000048358,1
06-0000013661,1
06-0000038066,0
06-0000013344,1
06-0000038067,1
06-0000013666,1
06-0000013642,1
06-0000013643,1
06-0000015738,1
06-0000013960,1
06-0000013644,1
06-0000020800,1
06-0000038068,0
06-0000013640,1
06-0000045428,0
06-0000013645,1
06-0000013650,1
06-0000045430,0
06-0000013959,1
06-0000015751,1
06-0000045224,0
06-0000013648,1
06-0000045476,1
06-0000045431,1
06-0000013957,1
06-0000013154,0
06-0000013949,1
06-0000037704,1
06-0000013641,1
06-0000013646,1
06-0000037705,1
06-0000045429,0
06-0000038069,0
06-0000013947,1
06-0000013958,1
06-0000003049,1
06-0000013948,1
06-0000026758,0
06-0000013649,1
06-0000051949,0
06-0000050674,0
06-0000013153,0
06-0000045427,1
06-0000048580,1
06-0000030290,0
06-0000013341,1
06-0000013647,1
06-0000038074,1
06-0000013954,1
06-0000013659,1
06-0000046600,1
06-0000038970,0
06-0000011834,1
06-0000013651,1
06-0000023068,1
06-0000015659,1
06-0000036058,1
06-0000036838,1
06-0000036057,1
06-0000038971,0
06-0000038969,0
06-0000013151,1
06-0000013652,1
06-0000012411,1
06-0000048568,0
06-0000036837,1
06-0000039268,0
06-0000038972,0
06-0000038361,1
06-0000013152,1
06-0000022107,1
06-0000038360,1
06-0000038973,1
06-0000013654,1
06-0000036835,1
06-0000013657,0
06-0000037734,0
06-0000013345,1
06-0000013150,1
06-0000013656,1
06-0000013653,1
06-0000036836,1
06-0000013655,0
06-0000013658,1
06-0000013953,0
06-0000013183,1
06-0000038810,0
06-0000034380,0
06-0000034379,0
06-0000013188,1
06-0000013187,1
06-0000013185,1
06-0000044683,1
06-0000013951,0
06-0000013952,0
06-0000013184,1
06-0000027846,0
06-0000035677,0
06-0000013544,1
06-0000013479,1
06-0000013541,1
06-0000048609,0
06-0000034381,0
06-0000048608,0
06-0000013543,1
06-0000013480,1
06-0000013532,0
06-0000013542,1
06-0000027849,1
06-0000040292,0
06-0000013085,0
