crosswalk_id,tube,on,off,distance
06-0000011869,염창,16735.410256410258,16139.615384615385,3.10140787838093
06-0000038065,공항시장,2778.153846153846,2968.974358974359,8.22906100632827
06-0000013528,화곡,27246.28205128205,25422.128205128207,10.847641813770496
06-0000011613,신방화,6518.641025641025,6320.307692307692,11.907529857075993
06-0000029734,신방화,6518.641025641025,6320.307692307692,13.72303443467044
06-0000050021,증미,6634.128205128205,6262.128205128205,15.081919707000665
06-0000013502,까치산,27313.358974358973,26170.25641025641,15.687181672790421
06-0000013783,양천향교,8965.923076923076,9118.794871794871,16.605470580511735
06-0000038063,공항시장,2778.153846153846,2968.974358974359,17.086203298592263
06-0000045711,마곡,9872.205128205129,9996.28205128205,19.116894873093678
06-0000034370,등촌,10748.333333333334,10268.076923076924,19.918943564148716
06-0000038064,공항시장,2778.153846153846,2968.974358974359,20.103074723439217
06-0000013781,양천향교,8965.923076923076,9118.794871794871,20.76894397817865
06-0000013531,화곡,27246.28205128205,25422.128205128207,22.159692283114587
06-0000052708,까치산,27313.358974358973,26170.25641025641,23.01320754912889
06-0000034364,염창,16735.410256410258,16139.615384615385,23.326295252732887
06-0000015730,양천향교,8965.923076923076,9118.794871794871,23.38625047736208
06-0000039036,발산,19879.82051282051,20772.97435897436,23.791173172558093
06-0000030630,증미,6634.128205128205,6262.128205128205,24.870353364415553
06-0000013677,증미,6634.128205128205,6262.128205128205,25.857197356081112
06-0000013529,화곡,27246.28205128205,25422.128205128207,26.972656763851305
06-0000013530,화곡,27246.28205128205,25422.128205128207,29.03336116421102
06-0000045712,마곡,9872.205128205129,9996.28205128205,30.059050808668406
06-0000039268,송정,6145.179487179487,5809.076923076923,31.53869924220787
06-0000013464,양천향교,8965.923076923076,9118.794871794871,31.912336396877045
06-0000013779,양천향교,8965.923076923076,9118.794871794871,32.058304541595724
06-0000038062,공항시장,2778.153846153846,2968.974358974359,33.0193487251728
06-0000029733,신방화,6518.641025641025,6320.307692307692,33.428506722159725
06-0000012979,가양,20669.30769230769,20122.74358974359,35.04960306910599
06-0000013343,공항시장,2778.153846153846,2968.974358974359,35.30787559700177
06-0000013503,까치산,27313.358974358973,26170.25641025641,36.77852880628826
06-0000013527,화곡,27246.28205128205,25422.128205128207,38.059964754389256
06-0000013780,양천향교,8965.923076923076,9118.794871794871,38.40405267023544
06-0000039041,마곡,9872.205128205129,9996.28205128205,38.434135990652244
06-0000039037,발산,19879.82051282051,20772.97435897436,38.477376817297994
06-0000013678,증미,6634.128205128205,6262.128205128205,38.51546356414637
06-0000037734,송정,6145.179487179487,5809.076923076923,38.57041395949373
06-0000050031,가양,20669.30769230769,20122.74358974359,39.732143444728806
06-0000027390,개화산,5385.2307692307695,5159.564102564103,39.74309768765984
06-0000029187,우장산,13611.076923076924,13370.076923076924,40.11524438850085
06-0000033829,까치산,27313.358974358973,26170.25641025641,41.482517887371834
06-0000039039,발산,19879.82051282051,20772.97435897436,41.49309477322961
06-0000038499,우장산,13611.076923076924,13370.076923076924,41.712382600565356
06-0000012090,우장산,13611.076923076924,13370.076923076924,41.8497543939315
06-0000027389,개화산,5385.2307692307695,5159.564102564103,43.10042526913892
06-0000036756,개화,2470.230769230769,1631.820512820513,43.232613172841965
06-0000044814,신방화,6518.641025641025,6320.307692307692,43.52670303449057
06-0000012972,신방화,6518.641025641025,6320.307692307692,44.037902846635795
06-0000049278,염창,16735.410256410258,16139.615384615385,45.498404763920554
06-0000030273,양천향교,8965.923076923076,9118.794871794871,45.54807957542713
06-0000040321,염창,16735.410256410258,16139.615384615385,45.66423141131335
06-0000030613,염창,16735.410256410258,16139.615384615385,45.775974042053
06-0000038066,공항시장,2778.153846153846,2968.974358974359,46.338768640413534
06-0000025945,개화산,5385.2307692307695,5159.564102564103,46.3679308482822
06-0000038977,신방화,6518.641025641025,6320.307692307692,47.03190151713231
06-0000002366,개화산,5385.2307692307695,5159.564102564103,47.21578156844191
06-0000036755,개화,2470.230769230769,1631.820512820513,47.39546809773154
06-0000038500,우장산,13611.076923076924,13370.076923076924,47.83648838297179
06-0000013658,방화,6402.48717948718,6107.538461538462,47.913299500748096
06-0000028511,우장산,13611.076923076924,13370.076923076924,47.940945345529336
06-0000037727,개화산,5385.2307692307695,5159.564102564103,48.49510446868774
06-0000015734,화곡,27246.28205128205,25422.128205128207,48.51881931462105
06-0000028073,공항시장,2778.153846153846,2968.974358974359,49.092568481003134
06-0000002368,개화산,5385.2307692307695,5159.564102564103,49.57287868610906
06-0000012032,등촌,10748.333333333334,10268.076923076924,50.10381828480045
06-0000047726,마곡나루,21288.871794871797,20787.07692307692,50.90163244517413
06-0000012976,가양,20669.30769230769,20122.74358974359,51.72685191953387
06-0000049642,마곡나루,21288.871794871797,20787.07692307692,51.74271063535006
06-0000013504,까치산,27313.358974358973,26170.25641025641,51.93306268019694
06-0000038976,신방화,6518.641025641025,6320.307692307692,58.156225486877844
06-0000015726,가양,20669.30769230769,20122.74358974359,58.197881656036664
06-0000036919,가양,20669.30769230769,20122.74358974359,58.25346343032964
06-0000045710,마곡,9872.205128205129,9996.28205128205,58.89276955949926
06-0000047719,마곡나루,21288.871794871797,20787.07692307692,59.057691869917996
06-0000049643,마곡나루,21288.871794871797,20787.07692307692,59.79623503116656
06-0000013500,까치산,27313.358974358973,26170.25641025641,60.69659948356768
06-0000039370,우장산,13611.076923076924,13370.076923076924,61.96667838873967
06-0000003342,우장산,13611.076923076924,13370.076923076924,62.392690433852685
06-0000013368,가양,20669.30769230769,20122.74358974359,63.01934913198057
06-0000039038,발산,19879.82051282051,20772.97435897436,63.146893738996305
06-0000013699,화곡,27246.28205128205,25422.128205128207,63.2201126179643
06-0000036762,개화,2470.230769230769,1631.820512820513,63.6542688316698
06-0000022449,증미,6634.128205128205,6262.128205128205,63.91796448232276
06-0000036764,개화,2470.230769230769,1631.820512820513,64.0605444859139
06-0000012093,우장산,13611.076923076924,13370.076923076924,64.11386317862265
06-0000038061,공항시장,2778.153846153846,2968.974358974359,64.18367631793036
06-0000003140,개화산,5385.2307692307695,5159.564102564103,64.33796935245512
06-0000052146,양천향교,8965.923076923076,9118.794871794871,64.47020741232882
06-0000036761,개화,2470.230769230769,1631.820512820513,64.51175826487585
06-0000013541,방화,6402.48717948718,6107.538461538462,66.908069640036
06-0000045685,신방화,6518.641025641025,6320.307692307692,66.93298213144915
06-0000036763,개화,2470.230769230769,1631.820512820513,67.32955723581601
06-0000036757,개화,2470.230769230769,1631.820512820513,67.47548173291803
06-0000011874,염창,16735.410256410258,16139.615384615385,67.57368807339803
