crosswalk_id,cafe_count
06-0000000002,2
06-0000000054,1
06-0000002366,3
06-0000002368,3
06-0000002370,3
06-0000002690,4
06-0000002715,1
06-0000002735,3
06-0000002872,1
06-0000002873,1
06-0000002940,2
06-0000002944,2
06-0000002945,7
06-0000002976,1
06-0000002980,3
06-0000002992,2
06-0000002993,2
06-0000003049,3
06-0000003137,3
06-0000003140,3
06-0000003143,1
06-0000003145,1
06-0000003224,1
06-0000003233,8
06-0000003237,3
06-0000003239,1
06-0000003246,4
06-0000003342,12
06-0000003344,5
06-0000003345,5
06-0000003349,4
06-0000003350,5
06-0000003352,3
06-0000003357,1
06-0000003358,5
06-0000003359,1
06-0000003384,1
06-0000003590,2
06-0000003591,2
06-0000003592,1
06-0000003593,1
06-0000003608,7
06-0000003609,9
06-0000003610,9
06-0000003612,3
06-0000003615,3
06-0000003620,1
06-0000003621,1
06-0000003624,6
06-0000003625,6
06-0000003626,6
06-0000003637,1
06-0000003638,1
06-0000003639,1
06-0000003647,1
06-0000003722,2
06-0000005716,2
06-0000011022,3
06-0000011023,2
06-0000011024,3
06-0000011052,2
06-0000011275,1
06-0000011417,1
06-0000011418,3
06-0000011585,1
06-0000011586,3
06-0000011588,1
06-0000011605,1
06-0000011606,1
06-0000011607,1
06-0000011608,1
06-0000011609,1
06-0000011610,1
06-0000011611,1
06-0000011612,2
06-0000011613,3
06-0000011740,1
06-0000011797,1
06-0000011812,2
06-0000011835,1
06-0000011836,5
06-0000011837,5
06-0000011838,4
06-0000011839,3
06-0000011840,6
06-0000011869,2
06-0000011870,1
06-0000011871,1
06-0000011873,1
06-0000011874,2
06-0000011877,1
06-0000011878,1
06-0000012023,1
06-0000012024,1
06-0000012032,1
06-0000012033,1
06-0000012035,2
06-0000012036,5
06-0000012063,2
06-0000012064,3
06-0000012065,1
06-0000012068,2
06-0000012069,2
06-0000012070,1
06-0000012071,1
06-0000012072,1
06-0000012073,2
06-0000012074,1
06-0000012075,2
06-0000012088,2
06-0000012089,2
06-0000012090,5
06-0000012093,8
06-0000012094,9
06-0000012095,6
06-0000012096,4
06-0000012097,5
06-0000012098,6
06-0000012099,7
06-0000012100,6
06-0000012101,1
06-0000012102,6
06-0000012107,2
06-0000012108,2
06-0000012109,2
06-0000012111,2
06-0000012113,1
06-0000012114,1
06-0000012117,1
06-0000012121,2
06-0000012122,1
06-0000012123,1
06-0000012124,1
06-0000012125,6
06-0000012127,1
06-0000012128,3
06-0000012130,2
06-0000012133,3
06-0000012134,4
06-0000012135,3
06-0000012136,4
06-0000012144,2
06-0000012145,4
06-0000012146,1
06-0000012147,1
06-0000012148,2
06-0000012149,3
06-0000012152,6
06-0000012155,7
06-0000012159,11
06-0000012160,11
06-0000012164,11
06-0000012165,4
06-0000012166,4
06-0000012167,1
06-0000012168,6
06-0000012169,9
06-0000012170,10
06-0000012171,9
06-0000012172,9
06-0000012173,10
06-0000012175,4
06-0000012176,5
06-0000012367,3
06-0000012368,2
06-0000012369,3
06-0000012370,3
06-0000012371,5
06-0000012419,7
06-0000012420,7
06-0000012421,7
06-0000012422,1
06-0000012439,2
06-0000012440,3
06-0000012441,2
06-0000012442,1
06-0000012443,1
06-0000012444,1
06-0000012524,1
06-0000012525,1
06-0000012595,9
06-0000012597,4
06-0000012598,1
06-0000012601,1
06-0000012602,1
06-0000012604,1
06-0000012605,1
06-0000012639,1
06-0000012860,1
06-0000012862,4
06-0000012863,1
06-0000012864,1
06-0000012865,3
06-0000012866,2
06-0000012867,10
06-0000012869,2
06-0000012871,2
06-0000012872,2
06-0000012887,1
06-0000012888,3
06-0000012889,2
06-0000012890,2
06-0000012891,2
06-0000012892,1
06-0000012893,1
06-0000012945,2
06-0000012969,1
06-0000012971,1
06-0000012972,2
06-0000012976,3
06-0000012977,3
06-0000012978,3
06-0000012979,3
06-0000012997,1
06-0000012999,3
06-0000013004,6
06-0000013005,3
06-0000013006,2
06-0000013007,3
06-0000013008,2
06-0000013009,3
06-0000013010,1
06-0000013011,1
06-0000013012,1
06-0000013018,1
06-0000013042,1
06-0000013052,2
06-0000013053,2
06-0000013054,1
06-0000013055,1
06-0000013057,3
06-0000013058,3
06-0000013059,3
06-0000013060,3
06-0000013061,2
06-0000013062,3
06-0000013063,1
06-0000013085,1
06-0000013087,1
06-0000013088,1
06-0000013097,1
06-0000013098,2
06-0000013099,2
06-0000013100,3
06-0000013102,3
06-0000013127,1
06-0000013128,1
06-0000013129,1
06-0000013130,1
06-0000013131,2
06-0000013133,10
06-0000013134,10
06-0000013135,10
06-0000013136,3
06-0000013137,4
06-0000013138,4
06-0000013144,1
06-0000013145,1
06-0000013146,1
06-0000013149,1
06-0000013151,1
06-0000013152,1
06-0000013153,1
06-0000013154,1
06-0000013157,1
06-0000013158,1
06-0000013159,1
06-0000013160,3
06-0000013161,2
06-0000013162,1
06-0000013163,1
06-0000013165,1
06-0000013167,1
06-0000013171,5
06-0000013174,2
06-0000013176,2
06-0000013178,3
06-0000013180,6
06-0000013182,7
06-0000013183,2
06-0000013184,1
06-0000013185,2
06-0000013187,1
06-0000013188,2
06-0000013218,1
06-0000013259,1
06-0000013266,1
06-0000013267,1
06-0000013268,1
06-0000013269,1
06-0000013270,6
06-0000013271,1
06-0000013273,5
06-0000013274,3
06-0000013275,1
06-0000013276,3
06-0000013277,4
06-0000013278,4
06-0000013279,4
06-0000013280,4
06-0000013281,4
06-0000013282,4
06-0000013287,2
06-0000013288,7
06-0000013289,7
06-0000013290,7
06-0000013341,1
06-0000013342,2
06-0000013343,5
06-0000013344,2
06-0000013345,1
06-0000013353,3
06-0000013354,3
06-0000013355,1
06-0000013356,1
06-0000013357,2
06-0000013359,1
06-0000013360,6
06-0000013361,5
06-0000013362,5
06-0000013363,2
06-0000013364,3
06-0000013365,3
06-0000013366,4
06-0000013367,3
06-0000013368,2
06-0000013369,2
06-0000013370,5
06-0000013371,2
06-0000013430,8
06-0000013431,3
06-0000013432,5
06-0000013433,7
06-0000013434,7
06-0000013435,7
06-0000013436,8
06-0000013437,9
06-0000013438,11
06-0000013442,1
06-0000013443,1
06-0000013444,1
06-0000013445,1
06-0000013446,3
06-0000013447,3
06-0000013448,4
06-0000013451,2
06-0000013452,2
06-0000013464,1
06-0000013465,1
06-0000013466,5
06-0000013467,3
06-0000013468,2
06-0000013474,2
06-0000013476,1
06-0000013477,3
06-0000013478,1
06-0000013479,3
06-0000013480,3
06-0000013481,2
06-0000013482,5
06-0000013485,5
06-0000013493,5
06-0000013497,3
06-0000013498,4
06-0000013499,1
06-0000013500,8
06-0000013501,8
06-0000013502,11
06-0000013503,8
06-0000013504,8
06-0000013505,3
06-0000013506,1
06-0000013513,1
06-0000013515,2
06-0000013522,5
06-0000013523,5
06-0000013524,1
06-0000013527,4
06-0000013528,4
06-0000013529,4
06-0000013530,4
06-0000013531,4
06-0000013532,1
06-0000013533,4
06-0000013534,3
06-0000013535,5
06-0000013536,7
06-0000013537,5
06-0000013541,3
06-0000013542,3
06-0000013543,3
06-0000013544,3
06-0000013545,8
06-0000013546,7
06-0000013547,2
06-0000013548,3
06-0000013549,4
06-0000013550,3
06-0000013551,2
06-0000013552,2
06-0000013553,2
06-0000013554,6
06-0000013555,7
06-0000013556,8
06-0000013557,8
06-0000013566,1
06-0000013567,1
06-0000013568,1
06-0000013569,1
06-0000013570,2
06-0000013571,3
06-0000013572,1
06-0000013573,1
06-0000013574,3
06-0000013576,3
06-0000013577,4
06-0000013578,4
06-0000013579,3
06-0000013633,1
06-0000013634,1
06-0000013637,1
06-0000013638,1
06-0000013639,2
06-0000013640,2
06-0000013641,2
06-0000013642,2
06-0000013643,2
06-0000013644,2
06-0000013645,2
06-0000013646,1
06-0000013647,2
06-0000013648,1
06-0000013649,1
06-0000013650,1
06-0000013651,3
06-0000013652,3
06-0000013653,3
06-0000013654,3
06-0000013655,6
06-0000013656,5
06-0000013657,5
06-0000013658,5
06-0000013659,4
06-0000013662,1
06-0000013669,2
06-0000013671,2
06-0000013674,1
06-0000013675,2
06-0000013676,2
06-0000013677,2
06-0000013678,2
06-0000013679,2
06-0000013680,4
06-0000013681,4
06-0000013683,1
06-0000013684,1
06-0000013685,1
06-0000013686,1
06-0000013687,1
06-0000013688,1
06-0000013693,1
06-0000013694,2
06-0000013695,2
06-0000013696,2
06-0000013697,3
06-0000013698,3
06-0000013699,3
06-0000013746,1
06-0000013747,1
06-0000013779,2
06-0000013780,1
06-0000013781,1
06-0000013783,1
06-0000013797,2
06-0000013798,1
06-0000013799,1
06-0000013800,3
06-0000013801,1
06-0000013802,1
06-0000013805,1
06-0000013947,1
06-0000013948,1
06-0000013949,2
06-0000013951,4
06-0000013952,4
06-0000013953,2
06-0000013954,2
06-0000013957,3
06-0000013958,1
06-0000013959,2
06-0000013960,1
06-0000014043,1
06-0000014044,1
06-0000014045,3
06-0000014046,3
06-0000014101,3
06-0000014160,6
06-0000014161,6
06-0000014162,7
06-0000014163,9
06-0000014164,2
06-0000014165,2
06-0000014167,9
06-0000014168,8
06-0000014169,7
06-0000014170,3
06-0000014171,2
06-0000014172,3
06-0000014173,3
06-0000014437,6
06-0000014494,1
06-0000014495,1
06-0000014496,1
06-0000014497,1
06-0000014498,1
06-0000014501,3
06-0000014502,3
06-0000014503,3
06-0000014504,3
06-0000014505,3
06-0000014507,3
06-0000014511,7
06-0000014512,7
06-0000015668,3
06-0000015670,1
06-0000015672,2
06-0000015674,5
06-0000015685,2
06-0000015691,1
06-0000015710,1
06-0000015713,3
06-0000015717,1
06-0000015726,4
06-0000015728,7
06-0000015729,2
06-0000015730,1
06-0000015731,5
06-0000015732,2
06-0000015733,2
06-0000015734,6
06-0000015735,2
06-0000015738,1
06-0000015741,4
06-0000015751,1
06-0000015760,7
06-0000015774,1
06-0000015775,7
06-0000018477,2
06-0000019028,1
06-0000019294,1
06-0000019351,2
06-0000019572,1
06-0000019575,1
06-0000019593,1
06-0000019673,1
06-0000019846,1
06-0000019859,5
06-0000019861,1
06-0000019862,2
06-0000019863,4
06-0000019865,2
06-0000019866,2
06-0000019867,2
06-0000020419,2
06-0000020765,2
06-0000020800,1
06-0000020831,3
06-0000021797,1
06-0000021798,1
06-0000021802,1
06-0000022105,5
06-0000022106,3
06-0000022243,1
06-0000022246,1
06-0000022626,1
06-0000022965,2
06-0000022978,1
06-0000022979,6
06-0000023068,2
06-0000023069,2
06-0000023176,5
06-0000023334,3
06-0000023417,1
06-0000023895,1
06-0000023896,1
06-0000024236,2
06-0000024237,2
06-0000024238,3
06-0000024245,2
06-0000024246,2
06-0000024247,2
06-0000024272,1
06-0000024273,1
06-0000024363,3
06-0000024368,1
06-0000024369,1
06-0000024371,1
06-0000024406,1
06-0000024407,1
06-0000024408,1
06-0000024409,1
06-0000024410,1
06-0000024412,2
06-0000024413,6
06-0000024420,3
06-0000024424,4
06-0000024543,2
06-0000024547,1
06-0000024548,2
06-0000024551,5
06-0000024552,1
06-0000024553,1
06-0000024554,1
06-0000024555,1
06-0000024557,3
06-0000024633,3
06-0000024635,1
06-0000024636,3
06-0000024637,3
06-0000024638,1
06-0000024639,3
06-0000024640,5
06-0000024641,5
06-0000024642,4
06-0000024645,1
06-0000024646,1
06-0000024647,1
06-0000024648,2
06-0000024649,3
06-0000024774,3
06-0000024775,3
06-0000024776,3
06-0000024777,3
06-0000024778,3
06-0000024779,3
06-0000025095,8
06-0000025485,2
06-0000025490,5
06-0000025491,4
06-0000025495,1
06-0000025496,4
06-0000025497,3
06-0000025500,2
06-0000025501,1
06-0000025502,1
06-0000025503,1
06-0000025504,1
06-0000025505,1
06-0000025506,3
06-0000025507,4
06-0000025511,2
06-0000025513,1
06-0000025514,2
06-0000025517,2
06-0000025531,1
06-0000025534,1
06-0000025616,2
06-0000025792,1
06-0000025945,3
06-0000025957,3
06-0000026031,2
06-0000026032,1
06-0000026033,2
06-0000026035,2
06-0000026036,5
06-0000026037,5
06-0000026038,5
06-0000026039,4
06-0000026043,4
06-0000026045,3
06-0000026046,1
06-0000026047,3
06-0000026048,2
06-0000026103,2
06-0000026104,2
06-0000026683,10
06-0000026684,10
06-0000026685,9
06-0000026758,3
06-0000026759,3
06-0000026760,1
06-0000026761,1
06-0000026762,2
06-0000027003,3
06-0000027110,2
06-0000027247,1
06-0000027362,7
06-0000027388,1
06-0000027389,3
06-0000027390,2
