crosswalk_id,acca_count
06-0000002366,1
06-0000002690,5
06-0000002735,17
06-0000002945,25
06-0000002980,1
06-0000002992,3
06-0000002993,3
06-0000003049,1
06-0000003140,1
06-0000003143,1
06-0000003233,1
06-0000003237,2
06-0000003239,2
06-0000003246,31
06-0000003342,27
06-0000003344,32
06-0000003345,31
06-0000003349,29
06-0000003350,29
06-0000003352,1
06-0000003358,25
06-0000003362,1
06-0000003363,1
06-0000003364,3
06-0000003590,1
06-0000003591,1
06-0000003612,3
06-0000003615,1
06-0000003624,4
06-0000003625,4
06-0000003626,4
06-0000003638,3
06-0000003639,6
06-0000003722,1
06-0000005716,1
06-0000011417,12
06-0000011418,13
06-0000011586,3
06-0000011608,1
06-0000011609,1
06-0000011610,1
06-0000011611,1
06-0000011612,2
06-0000011613,39
06-0000011740,1
06-0000011812,1
06-0000011835,2
06-0000011836,2
06-0000011837,2
06-0000011838,4
06-0000011839,2
06-0000011840,2
06-0000011878,5
06-0000011879,4
06-0000011880,4
06-0000011881,9
06-0000012023,2
06-0000012024,2
06-0000012036,1
06-0000012065,2
06-0000012068,13
06-0000012069,14
06-0000012070,5
06-0000012071,3
06-0000012072,3
06-0000012073,13
06-0000012074,3
06-0000012075,2
06-0000012088,21
06-0000012089,18
06-0000012090,5
06-0000012093,24
06-0000012094,26
06-0000012095,22
06-0000012096,23
06-0000012097,22
06-0000012098,30
06-0000012099,43
06-0000012100,30
06-0000012101,10
06-0000012102,20
06-0000012121,4
06-0000012125,4
06-0000012126,3
06-0000012128,5
06-0000012129,4
06-0000012133,4
06-0000012134,5
06-0000012135,4
06-0000012136,4
06-0000012143,3
06-0000012145,2
06-0000012146,4
06-0000012152,5
06-0000012155,8
06-0000012159,1
06-0000012160,1
06-0000012165,2
06-0000012166,2
06-0000012167,1
06-0000012168,1
06-0000012169,1
06-0000012170,2
06-0000012171,1
06-0000012172,1
06-0000012173,2
06-0000012175,1
06-0000012176,1
06-0000012183,1
06-0000012362,2
06-0000012363,2
06-0000012364,2
06-0000012367,1
06-0000012368,1
06-0000012369,2
06-0000012370,2
06-0000012371,2
06-0000012422,5
06-0000012439,1
06-0000012440,1
06-0000012441,1
06-0000012442,4
06-0000012443,3
06-0000012444,3
06-0000012447,1
06-0000012458,1
06-0000012583,1
06-0000012595,28
06-0000012597,4
06-0000012598,2
06-0000012601,3
06-0000012602,3
06-0000012603,12
06-0000012604,4
06-0000012605,4
06-0000012859,6
06-0000012869,3
06-0000012871,3
06-0000012872,3
06-0000012888,13
06-0000012889,13
06-0000012890,9
06-0000012891,3
06-0000012892,3
06-0000012893,3
06-0000012942,1
06-0000012945,3
06-0000012969,2
06-0000012971,2
06-0000012972,39
06-0000012976,4
06-0000012977,4
06-0000012978,4
06-0000012979,3
06-0000012999,16
06-0000013009,2
06-0000013010,2
06-0000013012,4
06-0000013013,4
06-0000013018,12
06-0000013019,16
06-0000013020,15
06-0000013042,1
06-0000013044,8
06-0000013045,8
06-0000013059,2
06-0000013063,1
06-0000013085,1
06-0000013095,1
06-0000013131,10
06-0000013136,4
06-0000013137,4
06-0000013138,4
06-0000013139,1
06-0000013144,1
06-0000013145,1
06-0000013146,1
06-0000013147,1
06-0000013152,1
06-0000013153,1
06-0000013157,5
06-0000013158,5
06-0000013159,5
06-0000013160,5
06-0000013161,7
06-0000013162,5
06-0000013163,5
06-0000013171,5
06-0000013174,7
06-0000013176,7
06-0000013178,7
06-0000013180,2
06-0000013182,4
06-0000013188,1
06-0000013218,3
06-0000013266,2
06-0000013267,2
06-0000013268,2
06-0000013269,2
06-0000013271,2
06-0000013273,17
06-0000013274,17
06-0000013275,7
06-0000013276,17
06-0000013277,17
06-0000013278,17
06-0000013279,17
06-0000013280,17
06-0000013281,17
06-0000013282,17
06-0000013283,10
06-0000013284,16
06-0000013288,1
06-0000013289,1
06-0000013290,1
06-0000013301,11
06-0000013342,1
06-0000013343,1
06-0000013345,1
06-0000013353,1
06-0000013355,1
06-0000013356,1
06-0000013357,2
06-0000013359,2
06-0000013362,1
06-0000013364,4
06-0000013365,1
06-0000013366,1
06-0000013367,1
06-0000013368,1
06-0000013371,2
06-0000013430,1
06-0000013431,1
06-0000013432,1
06-0000013433,1
06-0000013434,1
06-0000013435,1
06-0000013436,1
06-0000013437,1
06-0000013438,1
06-0000013439,3
06-0000013464,1
06-0000013467,3
06-0000013471,4
06-0000013475,1
06-0000013476,1
06-0000013477,4
06-0000013478,1
06-0000013479,4
06-0000013480,4
06-0000013482,2
06-0000013485,2
06-0000013489,1
06-0000013490,1
06-0000013491,5
06-0000013492,3
06-0000013493,2
06-0000013494,5
06-0000013495,5
06-0000013496,5
06-0000013497,1
06-0000013498,2
06-0000013499,6
06-0000013500,2
06-0000013501,1
06-0000013502,2
06-0000013503,2
06-0000013504,2
06-0000013505,1
06-0000013507,1
06-0000013508,1
06-0000013520,1
06-0000013522,27
06-0000013523,24
06-0000013527,2
06-0000013528,3
06-0000013529,4
06-0000013530,2
06-0000013531,3
06-0000013532,1
06-0000013533,3
06-0000013534,5
06-0000013535,4
06-0000013536,5
06-0000013537,4
06-0000013541,7
06-0000013542,7
06-0000013543,7
06-0000013544,7
06-0000013545,9
06-0000013546,9
06-0000013548,8
06-0000013549,8
06-0000013550,7
06-0000013551,2
06-0000013554,10
06-0000013555,10
06-0000013556,15
06-0000013557,16
06-0000013577,2
06-0000013578,2
06-0000013579,1
06-0000013584,4
06-0000013585,4
06-0000013586,4
06-0000013587,4
06-0000013635,1
06-0000013636,2
06-0000013637,2
06-0000013638,1
06-0000013639,3
06-0000013640,3
06-0000013641,3
06-0000013642,3
06-0000013643,3
06-0000013644,3
06-0000013645,3
06-0000013646,2
06-0000013647,2
06-0000013648,2
06-0000013649,2
06-0000013652,4
06-0000013653,4
06-0000013655,11
06-0000013656,11
06-0000013657,11
06-0000013658,4
06-0000013659,11
06-0000013673,2
06-0000013674,1
06-0000013675,1
06-0000013676,1
06-0000013680,7
06-0000013681,7
06-0000013688,1
06-0000013689,3
06-0000013690,3
06-0000013691,3
06-0000013692,3
06-0000013693,4
06-0000013694,4
06-0000013696,2
06-0000013698,1
06-0000013699,2
06-0000013751,5
06-0000013779,1
06-0000013780,1
06-0000013781,1
06-0000013783,1
06-0000013948,1
06-0000013949,1
06-0000013953,1
06-0000013958,1
06-0000013959,2
06-0000013960,2
06-0000013965,2
06-0000014101,1
06-0000014160,47
06-0000014161,47
06-0000014162,47
06-0000014163,15
06-0000014164,2
06-0000014165,2
06-0000014167,9
06-0000014168,10
06-0000014169,8
06-0000014170,14
06-0000014171,13
06-0000014172,4
06-0000014173,2
06-0000014494,2
06-0000014495,2
06-0000014496,2
06-0000014497,2
06-0000014498,2
06-0000014500,4
06-0000014501,47
06-0000014502,47
06-0000014503,47
06-0000014504,47
06-0000014505,47
06-0000014507,47
06-0000014511,93
06-0000014512,93
06-0000015648,1
06-0000015670,10
06-0000015674,2
06-0000015685,1
06-0000015691,7
06-0000015715,2
06-0000015716,2
06-0000015721,16
06-0000015722,14
06-0000015728,1
06-0000015730,1
06-0000015731,2
06-0000015732,6
06-0000015734,3
06-0000015741,2
06-0000015751,1
06-0000015760,8
06-0000015774,2
06-0000015775,93
06-0000018477,12
06-0000018738,1
06-0000019028,1
06-0000019294,3
06-0000019351,3
06-0000019572,1
06-0000019591,5
06-0000019593,10
06-0000019673,13
06-0000019846,2
06-0000019859,3
06-0000019861,2
06-0000019862,2
06-0000019863,6
06-0000019865,1
06-0000019866,1
06-0000019867,1
06-0000020419,13
06-0000020800,2
06-0000020831,2
06-0000021797,2
06-0000021798,4
06-0000021799,4
06-0000021801,4
06-0000021802,1
06-0000022106,1
06-0000022243,5
06-0000022246,2
06-0000022635,2
06-0000022965,1
06-0000022979,2
06-0000022980,1
06-0000023069,4
06-0000023176,3
