crosswalk_id,cafe,distance,cafe_area
06-0000030344,스타벅스 방화DT,16.612205000051294,373.97
06-0000018477,스타벅스커피 염창역점,24.262631274098396,221.3
06-0000029187,스타벅스 우장산역점,27.140794159861287,244.4
06-0000045721,스타벅스 마곡사이언스타워R점,27.293867347914585,391.8
06-0000046649,스타벅스 양천향교역,30.36060549276038,177.11
06-0000013438,스타벅스 양천향교역,32.07838473348113,177.11
06-0000032156,스타벅스커피 염창역점,32.29410433158045,221.3
06-0000045722,스타벅스 마곡사이언스타워R점,33.46417326988017,391.8
06-0000049627,스타벅스 양천향교역,33.47551716025205,177.11
06-0000032137,스타벅스 강서구청사거리점,34.56441432995266,243.0
06-0000013370,스타벅스 가양역점,35.06180431079092,231.4
06-0000049626,스타벅스 양천향교역,36.956914166631016,177.11
06-0000038499,스타벅스 우장산역점,37.330491921628436,244.4
06-0000012090,스타벅스 우장산역점,37.47946355813503,244.4
06-0000031752,스타벅스 가양역점,39.31919592014794,231.4
06-0000031753,스타벅스 가양역점,39.595172369004395,231.4
06-0000029739,스타벅스 화곡DT점,43.63404765464586,461.28
06-0000050023,스타벅스 강서구청사거리점,45.6208353044448,243.0
06-0000041365,스타벅스 마곡역점,45.93476554859786,224.36
06-0000012164,스타벅스커피 발산역점,46.31252628175166,203.87
06-0000013533,스타벅스 화곡역8번출구점,46.65981494910739,290.9
06-0000049629,스타벅스 양천향교역,46.91484578284256,177.11
06-0000045720,스타벅스 마곡사이언스타워R점,47.850384560808216,391.8
06-0000044383,스타벅스커피 염창역점,47.90025912871606,221.3
06-0000052710,스타벅스 양천향교역,48.35691903878552,177.11
06-0000032133,스타벅스 강서구청사거리점,49.05606578631466,243.0
06-0000032132,스타벅스 강서구청사거리점,49.06892126485076,243.0
06-0000012999,스타벅스커피 염창역점,49.26969413559517,221.3
06-0000041569,스타벅스커피 화곡동점,49.26997133093807,281.76
06-0000051379,스타벅스 가양역점,49.40606493293725,231.4
06-0000031749,스타벅스 가양역점,50.23978693184796,231.4
06-0000041568,스타벅스커피 화곡동점,50.30920712283417,281.76
06-0000045796,스타벅스 마곡GMG점,51.95044420511374,217.35
06-0000049628,스타벅스 양천향교역,53.604240996305485,177.11
06-0000045719,스타벅스 마곡사이언스타워R점,54.06820447032296,391.8
06-0000031754,스타벅스 가양역점,54.148040251841906,231.4
06-0000013534,스타벅스 화곡역8번출구점,54.162845750470815,290.9
06-0000013437,스타벅스 양천향교역,54.750874016727316,177.11
06-0000052145,스타벅스 양천향교역,54.98214966612461,177.11
06-0000039043,스타벅스 마곡역점,55.09523642951631,224.36
06-0000013430,스타벅스 양천향교역,56.18257644885679,177.11
06-0000013537,스타벅스커피 화곡동점,56.27921517638628,281.76
06-0000013369,스타벅스 가양역점,56.31343063230007,231.4
06-0000028083,스타벅스커피 화곡동점,57.847055049960055,281.76
